Unnamed: 0,PM1.0,PM2.5,PM10,Temperature,Humidity,CO
2021-06-01 07:00:00+07:00,30.1,28.57,48.42,26.82,81.54,572.13
2021-06-02 07:00:00+07:00,18.88,16.52,27.27,26.58,82.27,506.2
2021-06-03 07:00:00+07:00,28.45,26.51,44.46,26.53,82.11,554.73
2021-06-04 07:00:00+07:00,8.03,5.72,10.17,23.93,81.56,443.95
2021-06-05 07:00:00+07:00,27.2,29.8,51.6,23.67,83.5,595.5
2021-06-06 07:00:00+07:00,156.96,187.09,343.37,24.75,82.25,2742.79
2021-06-07 07:00:00+07:00,77.81,84.73,146.74,24.78,82.08,937.67
2021-06-08 07:00:00+07:00,13.78,11.94,19.56,22.99,81.18,487.42
2021-06-09 07:00:00+07:00,11.56,9.75,15.69,22.96,81.54,474.32
2021-06-10 07:00:00+07:00,25.09,25.26,43.23,24.01,81.55,543.38
2021-06-11 07:00:00+07:00,21.75,20.48,35.01,23.88,81.89,523.11
2021-06-12 07:00:00+07:00,7.94,5.87,10.25,22.97,81.52,446.91
2021-06-13 07:00:00+07:00,4.67,5.36,10.62,23.0,81.0,435.19
2021-06-14 07:00:00+07:00,6.96,6.45,11.88,23.9,81.71,449.57
2021-06-15 07:00:00+07:00,4.59,5.03,9.78,24.89,81.54,442.25
2021-06-16 07:00:00+07:00,5.19,5.18,10.01,25.71,82.08,442.93
2021-06-17 07:00:00+07:00,18.59,15.59,25.88,25.76,81.88,498.91
2021-06-18 07:00:00+07:00,22.14,19.86,33.52,25.95,81.19,516.85
2021-06-19 07:00:00+07:00,5.32,5.15,10.15,26.82,81.55,438.76
2021-06-20 07:00:00+07:00,8.16,5.86,10.63,27.86,81.36,445.17
2021-06-21 07:00:00+07:00,6.63,5.14,10.16,28.0,81.0,441.8
2021-06-22 07:00:00+07:00,33.7,33.09,57.54,25.68,82.25,587.98
2021-06-23 07:00:00+07:00,17.2,16.53,28.0,23.79,82.61,500.96
2021-06-24 07:00:00+07:00,16.57,13.83,23.05,25.95,81.18,484.69
2021-06-25 07:00:00+07:00,35.65,36.37,62.56,23.9,81.71,598.54
2021-06-26 07:00:00+07:00,14.48,13.14,21.56,23.38,81.71,482.43
2021-06-27 07:00:00+07:00,7.15,5.12,9.9,24.86,81.71,445.0
2021-06-28 07:00:00+07:00,9.27,6.79,11.12,26.24,81.54,458.4
2021-06-29 07:00:00+07:00,6.57,5.25,9.86,26.94,81.18,441.89
2021-06-30 07:00:00+07:00,11.13,8.63,14.78,25.72,82.06,462.95
2021-07-01 07:00:00+07:00,8.58,5.88,10.25,26.04,81.0,450.2
2021-07-02 07:00:00+07:00,6.9,5.13,9.88,26.8,81.54,444.8
2021-07-03 07:00:00+07:00,4.13,4.98,9.78,26.76,81.88,432.87
2021-07-04 07:00:00+07:00,16.94,14.25,23.0,26.82,81.54,491.33
2021-07-05 07:00:00+07:00,14.73,11.45,18.26,25.88,81.72,474.34
2021-07-06 07:00:00+07:00,56.88,60.86,105.85,25.21,81.37,783.09
2021-07-07 07:00:00+07:00,29.48,30.99,54.3,25.9,81.36,579.02
2021-07-08 07:00:00+07:00,4.27,5.02,9.89,22.96,81.54,436.02
2021-07-09 07:00:00+07:00,1.86,5.09,10.07,23.27,81.18,432.51
2021-07-10 07:00:00+07:00,,,,,,
2021-07-11 07:00:00+07:00,,,,,,
2021-07-12 07:00:00+07:00,,,,,,
2021-07-13 07:00:00+07:00,15.01,12.78,21.25,24.86,81.71,482.31
2021-07-14 07:00:00+07:00,15.27,13.6,22.53,24.92,81.38,482.34
2021-07-15 07:00:00+07:00,5.99,5.18,9.93,25.0,81.0,442.18
2021-07-16 07:00:00+07:00,,,,,,
2021-07-17 07:00:00+07:00,11.38,8.7,13.7,24.89,81.54,460.51
2021-07-18 07:00:00+07:00,13.13,10.75,17.31,25.82,81.54,472.29
2021-07-19 07:00:00+07:00,32.28,34.49,60.04,23.39,81.18,599.37
2021-07-20 07:00:00+07:00,25.09,24.41,41.91,24.78,82.1,546.16
2021-07-21 07:00:00+07:00,,,,,,
2021-07-22 07:00:00+07:00,,,,,,
2021-07-23 07:00:00+07:00,9.0,6.79,10.95,22.93,82.08,453.07
2021-07-24 07:00:00+07:00,26.0,25.06,43.7,23.93,81.54,545.77
2021-07-25 07:00:00+07:00,32.75,34.64,58.97,24.86,81.71,596.0
2021-07-26 07:00:00+07:00,18.4,17.6,29.68,23.86,82.08,498.36
2021-07-27 07:00:00+07:00,,,,,,
2021-07-28 07:00:00+07:00,,,,,,
2021-07-29 07:00:00+07:00,38.44,40.38,70.06,24.93,81.36,636.1
2021-07-30 07:00:00+07:00,53.77,64.81,115.06,24.89,81.55,789.11
2021-07-31 07:00:00+07:00,32.63,33.18,57.37,24.89,81.54,588.87
2021-08-01 07:00:00+07:00,2.14,5.06,9.84,22.99,81.18,427.26
2021-08-02 07:00:00+07:00,17.25,14.75,24.56,24.75,82.24,488.66
2021-08-03 07:00:00+07:00,21.88,20.94,35.69,24.96,81.18,523.4
2021-08-04 07:00:00+07:00,42.54,42.8,73.57,25.8,81.73,639.87
2021-08-05 07:00:00+07:00,64.82,72.88,130.24,25.92,81.35,874.93
2021-08-06 07:00:00+07:00,59.32,64.32,112.82,26.76,81.71,800.8
2021-08-07 07:00:00+07:00,21.29,19.41,33.35,26.82,81.53,514.69
2021-08-08 07:00:00+07:00,28.0,27.18,45.96,27.0,81.0,562.57
2021-08-09 07:00:00+07:00,40.06,43.31,76.58,24.86,81.71,652.32
2021-08-10 07:00:00+07:00,14.4,13.0,21.67,23.95,81.35,478.27
2021-08-11 07:00:00+07:00,12.44,10.73,17.86,23.38,81.89,471.24
2021-08-12 07:00:00+07:00,19.59,20.59,36.12,22.98,81.35,524.07
2021-08-13 07:00:00+07:00,24.24,24.03,40.57,23.91,81.71,540.44
2021-08-14 07:00:00+07:00,22.24,20.35,33.71,24.88,82.25,527.96
2021-08-15 07:00:00+07:00,8.6,7.01,12.03,23.79,82.61,456.25
2021-08-16 07:00:00+07:00,19.94,19.56,33.88,24.86,81.71,513.15
2021-08-17 07:00:00+07:00,8.18,6.03,10.81,23.86,82.06,451.8
2021-08-18 07:00:00+07:00,23.53,23.39,39.83,23.86,82.07,522.79
2021-08-19 07:00:00+07:00,9.27,6.95,12.14,23.88,81.89,454.95
2021-08-20 07:00:00+07:00,10.32,7.81,12.23,24.86,81.72,454.87
2021-08-21 07:00:00+07:00,17.16,15.17,24.98,24.92,81.71,488.73
2021-08-22 07:00:00+07:00,15.57,13.25,21.84,25.81,81.71,485.04
2021-08-23 07:00:00+07:00,14.87,12.67,20.27,25.81,81.71,474.55
2021-08-24 07:00:00+07:00,38.72,39.38,68.31,24.93,81.35,617.74
2021-08-25 07:00:00+07:00,27.96,26.69,45.39,24.89,81.54,553.44
2021-08-26 07:00:00+07:00,2.44,4.88,9.86,23.44,81.18,429.31
2021-08-27 07:00:00+07:00,6.65,5.6,10.44,23.76,81.71,447.84
2021-08-28 07:00:00+07:00,17.66,16.0,25.67,23.0,81.0,496.61
2021-08-29 07:00:00+07:00,31.63,33.5,59.13,22.96,81.54,586.01
2021-08-30 07:00:00+07:00,40.37,42.78,74.78,23.9,81.71,640.98
2021-08-31 07:00:00+07:00,29.88,30.13,51.25,24.22,81.88,564.19
2021-09-01 07:00:00+07:00,71.99,76.49,136.33,24.82,81.89,913.25
